,label,distance_type,algorithm,precisao,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
0,10: 0.1,euclidean,Busca Binaria 1,2,1.6835182118753655,0.5404358757804569,0.5895015241280416,0.7776474913166064,0.9223317920015165,0.011385476666631197
1,10: 0.1,euclidean,Busca Binaria 1,20,1.332768125435146,0.5626992346235646,0.5895015241280416,0.8244968835235519,0.9219317600465835,0.07756462666663234
2,10: 0.1,euclidean,Busca Binaria 1,3,1.4029318432294713,0.5353619682280996,0.5894039994839408,0.7620331909310724,0.9414120655766847,0.01720278999996481
3,10: 0.1,euclidean,Busca Binaria 1,4,1.4029318432294713,0.5601237491228926,0.5896368148047263,0.8268047347113623,0.9135902219518874,0.020801856666730602
4,10: 0.1,euclidean,Busca Binaria 1,5,1.4029318432294713,0.5469244582168236,0.5886249960187173,0.7913668174130591,0.9043862814426243,0.030800863333297457
5,10: 0.1,euclidean,Busca Binaria 1,6,1.4029318432294713,0.5506435800748692,0.589487462759872,0.8021513710645487,0.9226880865341819,0.026282473333321833
6,10: 0.1,euclidean,Busca Binaria 2,2,1.6835182118753655,0.5854453862676039,0.5854453862676039,0.8867177738547234,0.8867177738547234,0.1627349000000322
7,10: 0.1,euclidean,Busca Binaria 2,20,1.2968449698241322,0.5895737166868148,0.5895737166868148,0.9135902219518874,0.9135902219518874,1.1554403000000093
8,10: 0.1,euclidean,Busca Binaria 2,3,1.4029318432294713,0.5632487566841843,0.5632487566841843,0.8273880997517403,0.8273880997517403,0.2447700999996414
9,10: 0.1,euclidean,Busca Binaria 2,4,1.2626386589065242,0.5890943926093236,0.5890943926093236,0.8773548458265535,0.8773548458265535,0.18610149999994974
10,10: 0.1,euclidean,Busca Binaria 2,5,1.3327852510679978,0.5885107376311233,0.5885107376311233,0.8861016690552561,0.8861016690552561,0.3551401999998234
11,10: 0.1,euclidean,Busca Binaria 2,6,1.3327852510679978,0.5739195440469562,0.5739195440469562,0.8596419680296258,0.8596419680296258,0.44616610000002765
12,10: 0.1,manhattan,Busca Binaria 1,2,2.347099641037423,0.5514296809533832,0.5934676566384197,0.7956574111240525,0.9320517299643781,0.0006406900000608099
13,10: 0.1,manhattan,Busca Binaria 1,20,1.8702913056041999,0.5664926458082884,0.5969541030980332,0.8265799720939427,0.9227038569978269,0.0040600833333580034
14,10: 0.1,manhattan,Busca Binaria 1,3,2.347099641037423,0.5505564451725005,0.5963262941508742,0.7899067684003357,0.9414120655766847,0.0007226400000642267
15,10: 0.1,manhattan,Busca Binaria 1,4,1.5647330940249489,0.5729577342810743,0.5960511581654858,0.8424895486867485,0.9320517299643781,0.0009232266666761765
16,10: 0.1,manhattan,Busca Binaria 1,5,1.9559163675311861,0.5567138158979155,0.5960511581654858,0.800581603992232,0.913543244862151,0.0010739166666553501
