Year,club_name,overall,value_eur,age
2015,Manchester City,88,40500000.0,30
2015,Manchester City,88,46500000.0,28
2015,Chelsea,88,40500000.0,23
2015,Manchester City,87,36500000.0,28
2015,Manchester City,86,28500000.0,31
2015,Manchester City,86,40000000.0,28
2015,Manchester City,86,31500000.0,28
2015,Manchester City,86,45500000.0,26
2015,Arsenal,86,44000000.0,25
2015,Manchester City,86,45500000.0,26
2015,Chelsea,86,27000000.0,22
2015,Chelsea,85,18000000.0,32
2015,Tottenham Hotspur,85,21000000.0,27
2015,Manchester City,85,27000000.0,26
2015,Chelsea,85,26500000.0,25
2015,Arsenal,84,20000000.0,29
2015,Chelsea,84,23000000.0,27
2015,Manchester City,84,23000000.0,27
2015,Arsenal,84,26500000.0,25
2015,Chelsea,84,21000000.0,22
2015,Chelsea,83,7000000.0,33
2015,Arsenal,83,12500000.0,29
2015,Manchester City,83,15500000.0,28
2015,Liverpool,83,18500000.0,24
2015,Manchester City,83,17000000.0,28
2015,Arsenal,83,15000000.0,23
2015,Manchester City,83,13500000.0,23
2015,Liverpool,82,3900000.0,34
2015,Everton,82,9500000.0,35
2015,Manchester City,82,12500000.0,29
2015,Manchester City,82,15000000.0,27
2015,Everton,82,12500000.0,29
2015,Chelsea,82,13500000.0,28
2015,Stoke City,82,15000000.0,27
2015,Tottenham Hotspur,82,14500000.0,27
2015,Liverpool,82,16000000.0,26
2015,Chelsea,82,17000000.0,25
2015,Liverpool,82,16500000.0,23
2015,Tottenham Hotspur,82,15000000.0,22
2015,Chelsea,82,14500000.0,25
2015,Everton,81,7500000.0,33
2015,Chelsea,81,1300000.0,36
2015,Manchester City,81,10500000.0,29
2015,Tottenham Hotspur,81,11500000.0,29
2015,Chelsea,81,9500000.0,28
2015,Arsenal,81,12000000.0,25
2015,Arsenal,81,9500000.0,28
2015,Liverpool,81,9000000.0,29
2015,Chelsea,81,8000000.0,30
2015,Manchester City,81,13000000.0,24
2015,Liverpool,81,10500000.0,24
2015,Chelsea,81,10000000.0,27
2015,Liverpool,81,10500000.0,22
2015,Arsenal,81,9500000.0,22
2015,Swansea City,81,13500000.0,25
2015,Chelsea,81,10500000.0,23
2015,Everton,80,4300000.0,33
2015,Arsenal,80,7500000.0,33
2015,Arsenal,80,6000000.0,32
2015,Tottenham Hotspur,80,10500000.0,30
2015,Manchester City,80,9500000.0,28
2015,West Ham United,80,10500000.0,26
2015,Arsenal,80,9500000.0,28
2015,Tottenham Hotspur,80,12500000.0,26
2015,Manchester City,80,7500000.0,31
2015,Manchester City,80,11000000.0,28
2015,Everton,80,12500000.0,26
2015,Southampton,80,10000000.0,24
2015,Chelsea,80,13000000.0,27
2015,Tottenham Hotspur,80,10500000.0,27
2015,Aston Villa,80,12000000.0,23
2015,Arsenal,80,10500000.0,24
2015,Tottenham Hotspur,80,12000000.0,25
2015,Manchester City,80,9000000.0,23
2015,Everton,80,10500000.0,21
2015,Liverpool,80,10500000.0,24
2015,Southampton,80,13500000.0,25
2015,Liverpool,80,10000000.0,19
2015,Manchester City,79,110000.0,36
2015,Queens Park Rangers,79,1200000.0,35
2015,Manchester City,79,5500000.0,32
2015,Newcastle United,79,4500000.0,32
2015,Everton,79,5500000.0,32
2015,Everton,79,5000000.0,31
2015,Hull City,79,5500000.0,30
2015,Manchester City,79,3400000.0,33
2015,Tottenham Hotspur,79,7500000.0,30
2015,West Bromwich Albion,79,5000000.0,31
2015,Manchester City,79,6500000.0,32
2015,Tottenham Hotspur,79,8000000.0,27
2015,Tottenham Hotspur,79,6500000.0,28
2015,Swansea City,79,6000000.0,29
2015,Aston Villa,79,6000000.0,29
2015,Manchester City,79,8000000.0,26
2015,Newcastle United,79,8000000.0,26
2015,Liverpool,79,7000000.0,27
2015,Manchester City,79,7500000.0,26
2015,Arsenal,79,9000000.0,27
2015,Queens Park Rangers,79,9500000.0,25
2015,Everton,79,7500000.0,25
2015,Liverpool,79,9500000.0,26
2015,Manchester City,79,7500000.0,26
2015,Chelsea,79,7500000.0,24
2015,Everton,79,6000000.0,23
2015,Queens Park Rangers,79,7000000.0,25
2015,Manchester City,79,7000000.0,24
2015,Manchester City,79,8000000.0,24
2015,Newcastle United,79,9000000.0,24
2015,Manchester City,79,5500000.0,22
2015,Manchester City,79,7500000.0,24
2015,Tottenham Hotspur,78,1400000.0,43
2015,Liverpool,78,3400000.0,33
2015,Manchester City,78,3000000.0,33
2015,Manchester City,78,7500000.0,28
2015,Manchester City,78,7500000.0,28
2015,Everton,78,7500000.0,28
2015,Swansea City,78,8500000.0,28
2015,Hull City,78,8000000.0,27
2015,West Bromwich Albion,78,7000000.0,31
